agency_id,route_id,route_long_name,route_short_name,route_type,bus_num,
DIMTS,142,828AUP,,3,828A - Galib Pur Village,
DIMTS,10001,971DOWN,,3,971 - Delhi ADMN Flats Timarpur,
DIMTS,1108,878STLDOWN,,3,878STL - Dichau Kalan Depot,
DIMTS,362,961DOWN,,3,961 - Katewara Village,
DIMTS,1963,961EUP,,3,961E - Savda JJ Colony,
DIMTS,274,819DOWN,,3,819 - Tilak Nagar Terminal,
DIMTS,201,624ALINKSTLUP,,3,624ALINKSTL - Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal,
DIMTS,984,844STLUP,,3,844STL - Sarang Pur Village,
DIMTS,233,919UP,,3,919 - Sec-24 Rohini,
DIMTS,660,08UP,,3,08 - Najafgarh Terminal,
DIMTS,143,728STLUP,,3,728STL - Kair Depot,
DIMTS,263,740AUP,,3,740A - Gazipur Depot,
DIMTS,1954,892LSTLUP,,3,892LSTL - Chhawla School,
DIMTS,118,817NSTLDOWN,,3,817NSTL - Najafgarh Terminal,
DIMTS,463,540LSTLUP,,3,540LSTL - Tara Apartment,
DIMTS,250,348ADOWN,,3,348A - Mori Gate Terminal,
DIMTS,67,112STLUP,,3,112STL - Jain Shukla Mandir,
DIMTS,10002,623AUP,,3,623A - Lodhi Hotel,
DIMTS,1627,172AUP,,3,172A - Holambi Khurd,
DIMTS,1047,113STLUP,,3,113STL - Jain Shukla Mandir,
DIMTS,1745,402CLDOWN,,3,402CL - Azadpur Terminal,
DIMTS,1029,AIR - 05AUP,,3,AIR-05A - Mangla Puri Terminal,
DIMTS,1399,832LINKSTLUP,,3,832LINKSTL - Kair Depot,
DIMTS,1768,216ACLUP,,3,216ACL - ISBT Nityanand Marg,
DIMTS,1246,481LNKSTLDOWN,,3,481LNKSTL - Okhla Depot IV CWS II,
DIMTS,1871,827ESTLDOWN,,3,827ESTL - Ghuman Hera Depot 2,
DIMTS,1906,449CLUP,,3,449CL - C R Park Market II,
DIMTS,1372,836AUP,,3,836A - Mundhela Khurd Village,
DIMTS,1815,129DOWN,,3,129 - Old Delhi Railway Station,
DIMTS,1730,821LSTLUP,,3,821LSTL - Jaffar Pur Kalan,
DIMTS,930,139DOWN,,3,139 - Shivaji Stadium Terminal,
DIMTS,349,78ASTLUP,,3,78ASTL - Todapur Village,
DIMTS,1030,939STLDOWN,,3,939STL - Rani Khera Depot 2,
DIMTS,69,761STLUP,,3,761STL - C-1 Janak Puri,
DIMTS,1032,507STLUP,,3,507STL - Okhla Extension (Abul Fazl Encalve),
DIMTS,1586,167ADOWN,,3,167A - ISBT Kashmere Gate (ORR),
DIMTS,1640,258LNKSTLUP,,3,258LNKSTL - Chauhan Patti (Terminal),
DIMTS,1371,835LSTLUP,,3,835LSTL - Dhansa Border (T),
DIMTS,1145,939ADOWN,,3,939A - Zakhira (Rohtak Road),
DIMTS,295,413UP,,3,413 - Mehrauli Terminal,
DIMTS,613,456UP,,3,456 - Hamdard Nagar / Sangam Vihar,
DIMTS,740,309EXTUP,,3,309EXT - Rajghat Depot,
DIMTS,8,847AUP,,3,847A - Inderlok Metro Station,
DIMTS,1086,712UP,,3,712 - Shivaji Stadium Terminal,
DIMTS,1099,511ASTLUP,,3,511ASTL - Okhla Depot IV CWS II,
